fyear,tic,rcp,rtr,roa,pmr,str,itr
2015,AAPL,44.9482,8.1204614155,0.2044501625,0.228457737,0.8949145923,58.111659193
2016,AAPL,50.6049,7.2127359914,0.1492636789,0.2124077716,0.7027223053,54.262887748
2017,AAPL,51.7261,7.0563935234,0.1387393204,0.2109242085,0.6577685956,37.683698297
2018,AAPL,58.2302,6.2682241225,0.1606679226,0.224341364,0.7161760975,34.695948247
2019,AAPL,66.4971,5.488960854,0.1569235532,0.2123809451,0.7388777421,37.021830811
2015,MSFT,73.0390,4.9973299156,0.0699526975,0.1302949348,0.5368796381,9.938151744
2016,MSFT,77.3999,4.7157662015,0.0908203732,0.1968823254,0.4612926684,10.441296332
2017,MSFT,77.2384,4.7256297775,0.0975389852,0.2357309616,0.4137724826,11.940884477
2018,MSFT,76.5207,4.76995224,0.0662927506,0.1501540413,0.4414982778,11.750154863
2019,MSFT,81.2196,4.4939916079,0.1438933341,0.3118171054,0.461467096,13.252910053
2015,DELL,,,,,,
2016,DELL,,,,-0.027124363,,
2017,DELL,64.3553,5.671641791,-0.031003755,-0.047393847,0.6541725748,20.411809816
2018,DELL,64.1723,5.6878079397,-0.019735072,-0.02549078,0.7742042964,19.239449976
2019,DELL,67.6260,5.3973292726,0.0400206346,0.0500900666,0.7989734742,17.145743146
