                                 The SAS System                                1
                                             Thursday, July  8, 2021 08:19:00 PM

       Obs    gvkey      fyear                   mii                    pi

         1    001004      1994                0.0000               14.7130
         2    001004      1995                0.0000               22.7820
         3    001004      1996                0.0000               32.9750
         4    001004      1997                0.0000               51.1570
         5    001004      1998                0.0000               59.7860
         6    001004      1999                0.0000               49.5260
         7    001004      2000                0.0000               20.2200
         8    001013      1994                0.0000               64.3210
         9    001013      1995                0.0000               86.2290
        10    001013      1996                 .                  136.6630
        11    001013      1997                 .                  170.0570
        12    001013      1998                 .                  225.7340
        13    001013      1999                 .                  160.3830
        14    001013      2000                 .                 1460.4000
        15    001019      1995                0.0000                2.3810
        16    001019      1996                0.0000                1.9650
        17    001019      1997                0.0000                2.0090
        18    001019      1998                0.0000                3.1750
        19    001019      1999                0.0000                2.0530
        20    001019      2000                0.0000                3.2170
        21    001038      1994                0.0000               24.9780
        22    001038      1995                0.0000               46.6710
        23    001038      1996                0.0000               31.8950
        24    001045      1997               36.0000             1682.0000
        25    001045      1998               40.0000             2204.0000
        26    001045      1999                 .                 1006.0000
        27    001045      2000                 .                 1287.0000
        28    001076      1994                0.0000               18.4270
        29    001076      1995                0.0000               15.9120
        30    001076      1996                0.0000               25.1790
        31    001076      1997                0.0000               30.2370
        32    001076      1998                0.0000               35.1910
        33    001076      1999                0.0000               41.3020
        34    001076      2000                0.0000               43.9060
        35    001078      1994               12.0000             2178.6900
        36    001078      1995               18.0000             2413.3190
        37    001078      1996               16.0000             2685.5500
        38    001078      1997               11.0000             2960.9460
        39    001078      1998                7.0000             3247.5990
        40    001078      1999                8.0000             3404.8880
        41    001078      2000                8.0000             3824.4070
        42    001082      1996                 .                    3.8480
        43    001082      1997                 .                    4.8320
        44    001094      1994                0.0000               10.9350
        45    001094      1995                0.0000               12.6150
        46    001094      1996                0.0000               11.8090
        47    001094      1997                0.0000               10.2010
        48    001094      1998                0.0000               11.7430
        49    001094      1999                0.0000                9.7500
        50    001094      2000                0.0000               10.2310
        51    001097      2000                0.0000                3.4730
        52    001121      1996                0.0000                8.7650
        53    001121      1997                0.0000                8.5620
        54    001121      1998                0.0000                3.4670
        55    001121      1999                0.0000                9.0700
        56    001121      2000                0.0000               13.9220
        57    001151      1994                0.0000                3.0450
        58    001161      1994                0.0000              458.9690
        59    001161      1995                0.0000              413.2590
        60    001173      1997                0.0000                1.9350
        61    001173      1998                0.0000                0.5810
        62    001173      1999                0.0000                0.4820
        63    001173      2000                0.0000                0.7530
        64    001183      1994                0.0000               36.4280
        65    001209      1994                 .                  325.3000
        66    001210      1997                0.0000                2.8910
        67    001210      1998                0.0000                0.9060
        68    001210      1999                0.0000                0.6280
        69    001210      2000                0.0000                1.9450
        70    001213      1994                0.0000               64.2750
        71    001213      1995                0.0000               39.6340
        72    001213      1996                0.0000               45.9450
        73    001213      1997                0.0000              197.4650
        74    001213      1998                0.0000              221.5850
        75    001213      1999                0.0000              147.3880
        76    001226      1995                0.0000                2.7720
        77    001234      1999                0.0000                2.8690
        78    001234      2000                0.0000                3.5860
        79    001235      1994                0.0000                3.1500
        80    001239      1994                 .                   71.0780
        81    001239      1995                0.0000               84.2420
        82    001239      1996                0.0000              100.0140
        83    001239      1997                0.0000              136.1210
        84    001239      1998                0.0000              132.3780
        85    001239      1999                0.0000              133.7830
        86    001239      2000                0.0000              154.2810
        87    001240      1994                0.0000              678.6520
        88    001240      1995                0.0000              758.5010
        89    001240      1996                0.0000              794.8470
        90    001240      1997                0.0000              826.9030
        91    001240      1998                0.0000              894.8450
        92    001240      1999                0.0000              899.8100
        93    001240      2000                0.0000             1274.0000
        94    001244      1997                0.0000                5.0710
        95    001254      1994                0.0000              113.2350
        96    001254      1996                0.0000              104.0330
        97    001254      1997                0.0000              127.2120
        98    001254      1998                0.0000               55.2950
        99    001254      1999                0.0000               95.5400
       100    001254      2000                0.0000              122.7150
       101    001266      1994                0.0000               11.7030
       102    001266      1995                0.0000               14.4660
       103    001266      1996                0.0000                6.8200
       104    001266      1997                0.0000               17.8500
       105    001266      1998                0.0000               11.0250
       106    001266      1999                0.0000                7.0610
       107    001266      2000                0.0000               20.5750
       108    001278      1995                 .                   81.4690
       109    001278      1997                 .                   92.6700
       110    001281      1996                6.3050               46.5260
       111    001281      1997                5.0090               46.7130
       112    001283      1994                0.0000                6.9510
       113    001283      1995               -0.0240                6.0110
       114    001318      1994                 .                  436.5250
       115    001318      1995                 .                  571.8060
       116    001318      1996               37.5380              498.9780
       117    001318      1997               41.2370              869.9380
       118    001318      1998              102.1770             1074.5160
       119    001327      1999                0.0000               36.8190
       120    001351      1994                0.0000               14.0830
       121    001351      1995                0.0000               24.2630
       122    001351      1996                0.0000               29.8370
       123    001359      1994                0.0000               93.2900
       124    001359      1995                0.0000              116.7870
       125    001359      1996                0.0000              149.1000
       126    001359      1998                0.0000              172.8000
       127    001359      1999                0.0000              132.7000
       128    001372      1994                0.0000               22.0670
       129    001372      1995                0.0000               26.0980
       130    001372      1996                0.0000               24.7310
       131    001372      1997                0.0000               20.0050
       132    001378      1995                0.0000                1.7060
       133    001397      1994                0.0000               15.0750
       134    001397      1995                4.7060               18.7200
       135    001397      1996                6.8040               21.9740
       136    001397      1997                3.7770               19.2950
       137    001397      1998                5.1450               25.0020
       138    001397      1999                2.9920               20.1160
       139    001397      2000               -3.2350                2.8680
       140    001408      1994                 .                 1351.2000
       141    001408      1995                 .                  893.8000
       142    001408      1996                 .                  824.3000
       143    001408      1997                 .                  139.7000
       144    001408      1998                 .                  511.9000
       145    001408      2000                 .                   38.9000
       146    001410      1994                0.0000               25.0590
       147    001410      1995                0.0000               31.4120
       148    001410      1996                0.0000               38.1050
       149    001410      1997                0.0000               46.9640
       150    001410      1998                0.0000               57.5080
       151    001410      1999                0.0000               67.2320
       152    001410      2000                0.0000               72.6930
